datetime,VOC,CO2,humidity,temperature,water_temperature,pH,EC
2020-07-07 22:08:05,0.2,409.0,50.0,22.0,20.56,6.38,-1.0
2020-07-08 11:53:04,0.6,410.2,52.0,23.0,20.50,6.43,-1.0
2020-07-08 12:58:43,0.4,408.3,54.0,21.333333333333332,20.44,6.28,-1.0
2020-07-08 14:52:57,0.8,409.2,55.0,23.0,20.37,6.28,0.01
2020-07-09 12:28:57,0.1,405.0,56.666666666666664,20.333333333333332,20.31,6.28,-1.0
2020-07-09 13:33:25,0.8,417.6,55.0,21.0,20.19,-1.0,-1.0
2020-07-09 17:33:33,0.5,410.4,54.666666666666664,21.0,20.00,-1.0,-1.0
2020-07-09 18:38:39,1.4,419.7,57.666666666666664,21.666666666666668,20.00,6.33,-1.0
2020-07-09 19:43:28,1.2,412.5,60.0,22.0,20.06,6.39,-1.0
2020-07-09 20:53:00,0.4,415.6,59.333333333333336,22.0,20.19,6.38,0.01
2020-07-10 10:23:30,0.0,402.9,64.0,22.0,21.19,-1.0,-1.0
2020-07-10 12:22:55,1.0,412.4,59.0,23.0,21.00,6.47,-1.0
2020-07-10 13:53:18,1.0,412.2,55.0,23.0,20.94,6.49,-1.0
2020-07-10 14:58:33,0.3,413.6,57.333333333333336,23.0,20.81,6.43,-1.0
2020-07-10 17:38:17,0.0,411.8,62.333333333333336,23.0,20.69,-1.0,-1.0
2020-07-10 19:57:36,0.1,406.4,52.0,24.666666666666668,20.69,-1.0,-1.0
2020-07-10 21:12:54,0.1,408.6,63.0,22.0,20.75,-1.0,-1.0
2020-07-10 22:18:00,1.8,412.6,63.0,22.0,20.69,6.4,0.01
2020-07-11 11:44:06,0.9,405.8,57.666666666666664,21.333333333333332,20.25,-1.0,-1.0
2020-07-11 12:45:41,0.8,409.6,58.666666666666664,21.0,20.12,6.43,0.01
2020-07-12 12:37:57,0.8,404.3,50.0,23.0,20.50,6.54,-1.0
2020-07-12 20:49:07,0.0,406.2,54.666666666666664,22.333333333333332,20.44,-1.0,-1.0
2020-07-12 21:54:15,7.4,405.1,40.0,26.0,20.56,6.61,-1.0
2020-07-13 11:08:03,1.4,411.6,58.333333333333336,21.0,20.44,-1.0,-1.0
2020-07-13 12:13:19,0.6,422.1,62.0,22.0,20.31,6.65,-1.0
2020-07-13 14:08:05,0.6,415.0,62.333333333333336,21.0,20.19,-1.0,-1.0
2020-07-13 15:23:21,0.1,414.6,62.666666666666664,22.0,20.12,6.55,-1.0
2020-07-13 16:28:25,0.7,423.8,56.666666666666664,22.0,20.06,6.55,0.01
2020-07-13 18:38:06,0.2,408.0,64.0,22.0,20.06,-1.0,-1.0
2020-07-13 21:43:44,1.0,410.5,55.0,23.0,20.12,6.64,-1.0
2020-07-14 10:48:51,0.5,407.4,58.666666666666664,21.0,19.81,6.63,-1.0
2020-07-14 13:23:04,1.5,414.2,59.666666666666664,20.0,19.69,-1.0,-1.0
2020-07-14 14:52:57,1.0,423.1,60.666666666666664,20.0,19.62,6.63,-1.0
2020-07-14 18:53:52,0.5,405.4,64.0,20.0,19.62,-1.0,0.01
2020-07-14 23:38:50,0.2,412.6,59.666666666666664,21.0,19.87,6.69,0.02
2020-07-15 10:22:56,0.5,406.8,60.0,21.333333333333332,20.00,6.59,-1.0
2020-07-15 11:28:20,1.8,408.3,65.0,21.0,19.94,6.59,-1.0
2020-07-15 15:38:03,1.3,409.1,65.0,21.0,19.81,-1.0,-1.0
2020-07-15 19:43:30,1.8,412.6,65.0,21.0,19.8719.87,-1.0,-1.0
2020-07-15 20:53:34,0.7,407.4,62.0,22.0,20.00,-1.0,-1.0
2020-07-15 21:58:39,0.0,409.7,61.666666666666664,22.0,20.00,6.67,-1.0
2020-07-16 11:07:58,1.7,406.0,71.66666666666667,20.0,20.25,6.74,-1.0
2020-07-16 12:13:22,0.3,407.2,72.0,21.0,20.19,6.66,-1.0
2020-07-16 14:08:04,0.8,411.1,72.0,21.0,20.06,-1.0,0.03
2020-07-16 15:38:03,0.5,410.1,71.0,21.0,20.00,6.75,0.02
2020-07-17 10:22:56,0.1,404.0,66.33333333333333,23.0,20.56,-1.0,-1.0
2020-07-17 13:08:47,2.2,407.3,44.333333333333336,23.0,-1.00,20.44,-1.0
2020-07-17 18:48:35,0.2,414.7,70.0,22.333333333333332,20.25,-1.0,-1.0
2020-07-17 19:53:40,4.6,410.1,56.0,26.0,20.37,-1.0,-1.0
2020-07-17 20:58:45,6.5,408.1,55.666666666666664,26.0,20.50,-1.0,-1.0
2020-07-17 22:28:51,3.8,411.8,56.333333333333336,26.0,20.62,6.74,0.01
2020-07-18 10:13:25,0.4,407.7,57.0,25.0,20.69,-1.0,-1.0
2020-07-18 13:22:39,0.3,416.1,67.66666666666667,23.0,20.50,6.72,0.01
2020-07-18 18:58:22,0.3,408.5,56.0,24.0,20.37,7.21,-1.0
2020-07-18 21:54:04,0.7,410.9,60.666666666666664,23.0,20.44,7.12,-1.0
2020-07-18 23:14:00,0.4,407.8,68.0,22.0,20.44,7.02,-1.0
2020-07-19 11:08:37,4.7,407.3,58.333333333333336,24.666666666666668,20.94,7.05,-1.0
2020-07-19 12:13:59,0.0,405.6,65.66666666666667,23.666666666666668,20.87,7.01,-1.0
2020-07-19 13:23:55,1.2,410.7,74.0,23.0,20.75,-1.0,-1.0
2020-07-19 14:18:10,0.1,426.2,62.333333333333336,23.0,20.75,5.42,0.98
2020-07-19 16:59:50,0.5,408.0,68.0,21.0,20.50,5.43,-1.0
2020-07-19 18:05:28,0.6,411.2,68.0,22.0,20.44,4.49,-1.0
2020-07-19 19:08:50,0.6,453.1,65.33333333333333,22.0,20.44,-1.0,0.99
2020-07-19 20:35:17,0.7,413.3,69.0,22.0,20.50,-1.0,-1.0
2020-07-19 22:45:09,0.3,408.0,69.66666666666667,22.0,20.50,5.37,0.01
2020-07-20 10:23:40,1.0,411.9,58.333333333333336,25.0,21.25,5.15,-1.0
2020-07-20 11:53:32,0.9,413.3,62.0,23.666666666666668,21.19,5.9,-1.0
2020-07-20 14:27:45,0.8,408.6,71.0,23.0,21.12,-1.0,1.01
2020-07-20 14:37:48,0.4,413.0,65.0,22.0,21.12,-1.0,-1.0
2020-07-20 15:43:10,1.1,409.8,71.0,22.0,21.00,-1.0,-1.0
2020-07-20 16:29:23,1.2,413.4,70.0,22.0,20.94,6.22,16.49
2020-07-20 17:30:52,0.5,414.7,66.66666666666667,22.333333333333332,20.87,8.75,-1.0
2020-07-20 18:07:18,0.0,410.6,68.33333333333333,22.0,20.81,-1.0,-1.0
